hkl,bandgap,IP,EA
(010),2.635,5.6326,2.9976
(100),1.759,6.1996,4.4406
(101),0.887,5.9575,5.0705
(102),0.372,6.9391,6.5671
(110),2.472,5.7242,3.2522
(112),1.558,6.9134,5.3554
(211),2.481,5.887,3.406 
